100000000	100.000	1498157.000000	1498157.000000	
100000000	100.000	1457497.000000	1457497.000000	
100000000	100.000	1455680.000000	1455680.000000	
100000000	100.000	1471847.000000	1471847.000000	
100000000	100.000	1474493.000000	1474493.000000	
100000000	100.000	1442705.000000	1442705.000000	
100000000	100.000	1436298.000000	1436298.000000	
100000000	100.000	1450708.000000	1450708.000000	
100000000	100.000	1452100.000000	1452100.000000	
100000000	100.000	1454276.000000	1454276.000000	
100000000	100.000	1439583.000000	1439583.000000	
100000000	100.000	1431998.000000	1431998.000000	
100000000	100.000	1475271.000000	1475271.000000	
100000000	100.000	1454703.000000	1454703.000000	
100000000	100.000	1396653.000000	1396653.000000	
200000000	100.000	3043811.000000	3043811.000000	
